"Datum","Gemeldete FÃ¤lle","Hospitalisierungen","Verstorben"
"24.02.2020","1","0","0"
"25.02.2020","0","0","0"
"26.02.2020","0","0","0"
"27.02.2020","0","0","0"
"28.02.2020","1","1","0"
"29.02.2020","1","0","0"
"01.03.2020","0","0","0"
"02.03.2020","2","0","0"
"03.03.2020","1","1","0"
"04.03.2020","0","0","0"
"05.03.2020","1","0","0"
"06.03.2020","2","1","0"
"07.03.2020","0","0","0"
"08.03.2020","1","0","0"
"09.03.2020","3","0","0"
"10.03.2020","7","0","0"
"11.03.2020","19","1","0"
"12.03.2020","18","2","1"
"13.03.2020","27","2","0"
"14.03.2020","24","1","0"
"15.03.2020","21","0","0"
"16.03.2020","29","2","0"
"17.03.2020","46","7","2"
"18.03.2020","54","8","4"
"19.03.2020","60","2","0"
"20.03.2020","78","12","1"
"21.03.2020","45","5","3"
"22.03.2020","34","9","3"
"23.03.2020","94","16","3"
"24.03.2020","100","15","4"
"25.03.2020","87","13","4"
"26.03.2020","96","23","4"
"27.03.2020","118","19","2"
"28.03.2020","82","16","1"
"29.03.2020","43","13","2"
"30.03.2020","77","18","5"
"31.03.2020","104","23","3"
"01.04.2020","103","19","6"
"02.04.2020","112","18","4"
"03.04.2020","111","13","7"
"04.04.2020","69","11","3"
"05.04.2020","36","4","1"
"06.04.2020","62","15","5"
"07.04.2020","111","21","10"
"08.04.2020","90","19","4"
"09.04.2020","93","13","4"
"10.04.2020","34","4","1"
"11.04.2020","41","7","3"
"12.04.2020","16","3","0"
"13.04.2020","98","5","12"
"14.04.2020","17","1","1"
"15.04.2020","42","8","3"
"16.04.2020","51","7","3"
"17.04.2020","38","6","3"
"18.04.2020","26","6","2"
"19.04.2020","9","3","1"
"20.04.2020","27","13","3"
"21.04.2020","37","7","2"
"22.04.2020","34","7","4"
"23.04.2020","40","5","1"
"24.04.2020","39","7","1"
"25.04.2020","17","4","3"
"26.04.2020","6","4","1"
"27.04.2020","13","1","0"
"28.04.2020","22","2","0"
"29.04.2020","18","4","0"
"30.04.2020","19","5","1"
"01.05.2020","13","1","1"
"02.05.2020","11","2","0"
"03.05.2020","50","1","0"
"04.05.2020","13","3","0"
"05.05.2020","49","6","0"
"06.05.2020","16","2","0"
"07.05.2020","34","2","1"
"08.05.2020","22","4","1"
"09.05.2020","19","1","0"
"10.05.2020","20","4","1"
"11.05.2020","5","1","1"
"12.05.2020","16","3","0"
"13.05.2020","12","0","0"
"14.05.2020","5","0","0"
"15.05.2020","7","0","0"
"16.05.2020","2","1","0"
"17.05.2020","1","0","0"
"18.05.2020","0","0","0"
"19.05.2020","14","3","0"
"20.05.2020","5","0","0"
"21.05.2020","23","1","0"
"22.05.2020","18","2","0"

"Datenstand 22.05.2020 19:44:52"
